Site Name,City,Country,State,Street Address,Address,Latitude,Longitude,Coordinates,Zip Code,NPL Status,HRS Score
CECIL LINDSEY,NEWPORT,U.S.A,AR,SEC 32 T12N R2W,"SEC 32 T12N R2W, NEWPORT, AR, U.S.A, 72112",35.6060625,-91.2641293,"35.6060625, -91.2641293",72112,Deleted NPL,
CEDAR CHEMICAL CORPORATION,WEST HELENA,U.S.A,AR,49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH),"49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH), WEST HELENA, AR, U.S.A, 72342",34.52043,-90.6541247,"34.52043, -90.6541247",72342,Final NPL,
FRIT INDUSTRIES,WALNUT RIDGE,U.S.A,AR,INDUSTRIAL PARK,"INDUSTRIAL PARK, WALNUT RIDGE, AR, U.S.A, 72476",36.1181403,-90.9498991,"36.1181403, -90.9498991",72476,Deleted NPL,
GURLEY PIT,EDMONDSEN,U.S.A,AR,1 MI N OF EDMONDSON,"1 MI N OF EDMONDSON, EDMONDSEN, AR, U.S.A, 72332",35.1020995,-90.3090269,"35.1020995, -90.3090269",72332,Deleted NPL,
INDUSTRIAL WASTE CONTROL,FORT SMITH,U.S.A,AR,BONANZA ROAD,"BONANZA ROAD, FORT SMITH, AR, U.S.A, 72916",35.2449765,-94.366053,"35.2449765, -94.366053",72916,Deleted NPL,
JACKSONVILLE MUNICIPAL LANDFILL,JACKSONVILLE,U.S.A,AR,GRAHAM RD,"GRAHAM RD, JACKSONVILLE, AR, U.S.A, 72076",34.8669157,-92.090469,"34.8669157, -92.090469",72076,Deleted NPL,
MACMILLAN RING FREE OIL,NORPHLET,U.S.A,AR,MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335,"MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335, NORPHLET, AR, U.S.A, 71759",33.3150843,-92.6620043,"33.3150843, -92.6620043",71759,Final NPL,50
MID-SOUTH WOOD PRODUCTS,MENA,U.S.A,AR,HWY 71 SOUTH,"HWY 71 SOUTH, MENA, AR, U.S.A, 71953",34.5828399,-94.2358218,"34.5828399, -94.2358218",71953,Final NPL,45.87
MONROE AUTO EQUIPMENT CO. (PARAGOULD PIT),PARAGOULD,U.S.A,AR,HWY 358 2 1/2 MI W OF TOWN,"HWY 358 2 1/2 MI W OF TOWN, PARAGOULD, AR, U.S.A, 72450",36.0525622,-90.4886797,"36.0525622, -90.4886797",72450,Deleted NPL,
MOUNTAIN PINE PRESSURE TREATING,PLAINVIEW,U.S.A,AR,HIGHWAY 28,"HIGHWAY 28, PLAINVIEW, AR, U.S.A, 72857",34.9890009,-93.2982601,"34.9890009, -93.2982601",72857,Final NPL,41.93
OLD MIDLAND PRODUCTS,OLA/BIRTA,U.S.A,AR,1/2 MI E ON HIGHWAY 10,"1/2 MI E ON HIGHWAY 10, OLA/BIRTA, AR, U.S.A, 72853",35.0324538,-93.2234178,"35.0324538, -93.2234178",72853,Final NPL,30.77
OUACHITA NEVADA WOOD TREATER,READER,U.S.A,AR,N OF HWY 368 APPROX. 1/4 MI N OF READER,"N OF HWY 368 APPROX. 1/4 MI N OF READER, READER, AR, U.S.A, 71726",33.7535093,-93.1046585,"33.7535093, -93.1046585",71726,Final NPL,50
"POPILE, INC.",EL DORADO,U.S.A,AR,SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY,"SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY, EL DORADO, AR, U.S.A, 71730",33.207471,-92.6655716,"33.207471, -92.6655716",71730,Final NPL,50.03
ROGERS ROAD MUNICIPAL LANDFILL,JACKSONVILLE,U.S.A,AR,ROGER RD 2/10MI S OF GRAHAM RD,"ROGER RD 2/10MI S OF GRAHAM RD, JACKSONVILLE, AR, U.S.A, 72076",34.8669157,-92.090469,"34.8669157, -92.090469",72076,Deleted NPL,
SOUTH 8TH STREET LANDFILL,WEST MEMPHIS,U.S.A,AR,SOUTH EIGHTH STREET,"SOUTH EIGHTH STREET, WEST MEMPHIS, AR, U.S.A, 72301",35.1359885,-90.1747093,"35.1359885, -90.1747093",72301,Deleted NPL,
"VERTAC, INC.",JACKSONVILLE,U.S.A,AR,MARSHALL RD,"MARSHALL RD, JACKSONVILLE, AR, U.S.A, 72076",34.8937766,-92.1235265,"34.8937766, -92.1235265",72076,Final NPL,65.46
APACHE POWDER CO.,SAINT DAVID,U.S.A,AZ,1436 S APACHE POWDER RD,"1436 S APACHE POWDER RD, SAINT DAVID, AZ, U.S.A, 85630",31.891291,-110.2369364,"31.891291, -110.2369364",85630,Final NPL,39.09
ASARCO HAYDEN PLANT,HAYDEN,U.S.A,AZ,640 ASARCO AVE,"640 ASARCO AVE, HAYDEN, AZ, U.S.A, 85235",32.999957,-110.781077,"32.999957, -110.781077",85235,Not NPL,
CYPRUS TOHONO MINE,CASA GRANDE,U.S.A,AZ,INDIAN ROAD NUMBER 15,"INDIAN ROAD NUMBER 15, CASA GRANDE, AZ, U.S.A, ",32.9110027,-111.7733902,"32.9110027, -111.7733902",,Not NPL,
HASSAYAMPA LANDFILL,ARLINGTON,U.S.A,AZ,32450 West Salome Highway,"32450 West Salome Highway, ARLINGTON, AZ, U.S.A, 85322",33.3681603,-112.7508506,"33.3681603, -112.7508506",85322,Final NPL,42.79
INDIAN BEND WASH AREA,SCOTTSDALE,U.S.A,AZ,MCDOWELL RD & HAYDEN,"MCDOWELL RD & HAYDEN, SCOTTSDALE, AZ, U.S.A, 85253",33.4658896,-111.9089592,"33.4658896, -111.9089592",85253,Final NPL,
IRON KING MINE - HUMBOLDT SMELTER,DEWEY-HUMBOLDT,U.S.A,AZ,"PARTS OF SECS 15,16&22, TWP 13N, RNG 1E","PARTS OF SECS 15,16&22, TWP 13N, RNG 1E, DEWEY-HUMBOLDT, AZ, U.S.A, 86327",34.5056894,-112.2427894,"34.5056894, -112.2427894",86327,Final NPL,52.69
LUKACHUKAI MOUNTAINS MINING DISTRICT,COVE,U.S.A,AZ,End of Indian Route 33,"End of Indian Route 33, COVE, AZ, U.S.A, 86544",36.5872919,-109.1391752,"36.5872919, -109.1391752",86544,Proposed NPL,50
LUKE AIR FORCE BASE,GLENDALE,U.S.A,AZ,S RT 8 YUMA THRU GILA BEND,"S RT 8 YUMA THRU GILA BEND, GLENDALE, AZ, U.S.A, 85309",33.5386523,-112.1859866,"33.5386523, -112.1859866",85309,Deleted NPL,
"MOTOROLA, INC. (52ND STREET PLANT)",PHOENIX,U.S.A,AZ,5005 E MCDOWELL RD,"5005 E MCDOWELL RD, PHOENIX, AZ, U.S.A, 85008",33.4633837,-111.9723703,"33.4633837, -111.9723703",85008,Final NPL,40.83
MOUNTAIN VIEW MOBILE HOME ESTATES,GLOBE,U.S.A,AZ,RTE 77,"RTE 77, GLOBE, AZ, U.S.A, 85501",33.3801206,-110.7497141,"33.3801206, -110.7497141",85501,Deleted NPL,
NINETEENTH AVENUE LANDFILL,PHOENIX,U.S.A,AZ,19TH AVE,"19TH AVE, PHOENIX, AZ, U.S.A, 85041",33.3850219,-112.0991736,"33.3850219, -112.0991736",85041,Deleted NPL,
PHOENIX-GOODYEAR AIRPORT AREA,GOODYEAR,U.S.A,AZ,BETWEEN LWR BUCKEYE ROAD & VAN BUREN,"BETWEEN LWR BUCKEYE ROAD & VAN BUREN, GOODYEAR, AZ, U.S.A, 85338",33.4500193,-112.4003475,"33.4500193, -112.4003475",85338,Final NPL,45.91
TUCSON INTERNATIONAL AIRPORT AREA,TUCSON,U.S.A,AZ,NOGALES HWY,"NOGALES HWY, TUCSON, AZ, U.S.A, 85734",32.0762652,-110.9585598,"32.0762652, -110.9585598",85734,Final NPL,57.8
WILLIAMS AIR FORCE BASE,CHANDLER,U.S.A,AZ,WILLIAMS AFB,"WILLIAMS AFB, CHANDLER, AZ, U.S.A, 85224",33.3089787,-111.6559353,"33.3089787, -111.6559353",85224,Final NPL,37.93
YUMA MARINE CORPS AIR STATION,YUMA,U.S.A,AZ,AVENUE 3E,"AVENUE 3E, YUMA, AZ, U.S.A, 85369",32.5389179,-114.580023,"32.5389179, -114.580023",85369,Final NPL,32.24
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,U.S.A,CA,901 THOMPSON PL,"901 THOMPSON PL, SUNNYVALE, CA, U.S.A, 94086",37.3827873,-122.0074361,"37.3827873, -122.0074361",94086,Final NPL,37.93
"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",SUNNYVALE,U.S.A,CA,915 DEGUIGNE,"915 DEGUIGNE, SUNNYVALE, CA, U.S.A, 94086",37.3873408,-122.0077323,"37.3873408, -122.0077323",94086,Final NPL,31.94
AEROJET GENERAL CORP.,RANCHO CORDOVA,U.S.A,CA,HWY US 50 & AEROJET RD,"HWY US 50 & AEROJET RD, RANCHO CORDOVA, CA, U.S.A, 95670",38.6262721,-121.1950514,"38.6262721, -121.1950514",95670,Final NPL,54.63
ALAMEDA NAVAL AIR STATION,ALAMEDA,U.S.A,CA,W END CITY OF ALAMEDA,"W END CITY OF ALAMEDA, ALAMEDA, CA, U.S.A, 94501",37.7712165,-122.2824021,"37.7712165, -122.2824021",94501,Final NPL,50
ALARK HARD CHROME,RIVERSIDE,U.S.A,CA,2777 MAIN STREET,"2777 MAIN STREET, RIVERSIDE, CA, U.S.A, 92501",33.9914996,-117.3684644,"33.9914996, -117.3684644",92501,Final NPL,50.5
AMCO CHEMICAL,OAKLAND,U.S.A,CA,1414 THIRD STREET,"1414 THIRD STREET, OAKLAND, CA, U.S.A, 94607",37.802578,-122.2951986,"37.802578, -122.2951986",94607,Final NPL,50
APPLIED MATERIALS,SANTA CLARA,U.S.A,CA,3050 BOWERS AVE,"3050 BOWERS AVE, SANTA CLARA, CA, U.S.A, 95051",37.3776019,-121.9787698,"37.3776019, -121.9787698",95051,Final NPL,31.94
ARGONAUT MINE,JACKSON,U.S.A,CA,ARGONAUT LANE,"ARGONAUT LANE, JACKSON, CA, U.S.A, 95642",38.3598187,-120.7893643,"38.3598187, -120.7893643",95642,Final NPL,58.31
ATLAS ASBESTOS MINE,COALINGA,U.S.A,CA,LOS GATOS CREEK RD NW OF FRESNO,"LOS GATOS CREEK RD NW OF FRESNO, COALINGA, CA, U.S.A, 93210",36.2338045,-120.5546739,"36.2338045, -120.5546739",93210,Final NPL,45.55
BARSTOW MARINE CORPS LOGISTICS BASE,BARSTOW,U.S.A,CA,MARINE CORPS LOGIS BASE- NEBO,"MARINE CORPS LOGIS BASE- NEBO, BARSTOW, CA, U.S.A, 92311",34.871567,-116.955593,"34.871567, -116.955593",92311,Final NPL,37.93
BECKMAN INSTRUMENTS (PORTERVILLE PLANT),PORTERVILLE,U.S.A,CA,167 W POPLAR AVE,"167 W POPLAR AVE, PORTERVILLE, CA, U.S.A, 93257",36.0509698,-119.021503,"36.0509698, -119.021503",93257,Deleted NPL,
BLUE LEDGE MINE,ROGUE RIVER-SISKIYOU NF,U.S.A,CA,"SECTIONS 34, TOWNSHIP 48 N, RANGE 11 W","SECTIONS 34, TOWNSHIP 48 N, RANGE 11 W, ROGUE RIVER-SISKIYOU NF, CA, U.S.A, 96086",41.9132748,-123.2255361,"41.9132748, -123.2255361",96086,Final NPL,50.28
"BROWN & BRYANT, INC. (ARVIN PLANT)",ARVIN,U.S.A,CA,600 S DERBY RD,"600 S DERBY RD, ARVIN, CA, U.S.A, 93203",35.202863,-118.82283,"35.202863, -118.82283",93203,Final NPL,53.36
CAMP PENDLETON MARINE CORPS BASE,CAMP PENDLETON,U.S.A,CA,CAMP PENDLETON MARINE BASE,"CAMP PENDLETON MARINE BASE, CAMP PENDLETON, CA, U.S.A, 92055",33.308258,-117.3097763,"33.308258, -117.3097763",92055,Final NPL,33.79
CASMALIA RESOURCES,CASMALIA,U.S.A,CA,3300 NTU ROAD,"3300 NTU ROAD, CASMALIA, CA, U.S.A, 93429",34.862201,-120.546952,"34.862201, -120.546952",93429,Final NPL,30
CASTLE AIR FORCE BASE (6 AREAS),MERCED,U.S.A,CA,CASTLE AFB,"CASTLE AFB, MERCED, CA, U.S.A, 95342",37.3648271,-120.5779088,"37.3648271, -120.5779088",95342,Final NPL,37.93
CELTOR CHEMICAL WORKS,HOOPA,U.S.A,CA,BETW NORTON FLD & TRINITY RIV,"BETW NORTON FLD & TRINITY RIV, HOOPA, CA, U.S.A, 95546",41.0542961,-123.678483,"41.0542961, -123.678483",95546,Deleted NPL,
COALINGA ASBESTOS MINE,COALINGA,U.S.A,CA,PINE CYN 15 MI NW OF,"PINE CYN 15 MI NW OF, COALINGA, CA, U.S.A, 93210",36.1802026,-121.1520266,"36.1802026, -121.1520266",93210,Deleted NPL,
COAST WOOD PRESERVING,UKIAH,U.S.A,CA,PLANT RD & TAYLOR DR,"PLANT RD & TAYLOR DR, UKIAH, CA, U.S.A, 95482",39.1122697,-123.1938104,"39.1122697, -123.1938104",95482,Final NPL,44.73
CONCORD NAVAL WEAPONS STATION,CONCORD,U.S.A,CA,PORT CHICAGO HWY,"PORT CHICAGO HWY, CONCORD, CA, U.S.A, 94520",38.0086331,-122.0225861,"38.0086331, -122.0225861",94520,Final NPL,50
COOPER DRUM CO.,SOUTH GATE,U.S.A,CA,9316 ATLANTIC AVE,"9316 ATLANTIC AVE, SOUTH GATE, CA, U.S.A, 90280",33.9471479,-118.1801627,"33.9471479, -118.1801627",90280,Final NPL,50
COPPER BLUFF MINE,HOOPA,U.S.A,CA,"OFF HIGHWAY 96, APPROXIMATELY 0.9 MILE","OFF HIGHWAY 96, APPROXIMATELY 0.9 MILE, HOOPA, CA, U.S.A, 95546",41.0542961,-123.678483,"41.0542961, -123.678483",95546,Final NPL,50
CRAZY HORSE SANITARY LANDFILL,SALINAS,U.S.A,CA,350 CRAZY HORSE CANYON ROAD,"350 CRAZY HORSE CANYON ROAD, SALINAS, CA, U.S.A, 93907",36.80657,-121.61979,"36.80657, -121.61979",93907,Final NPL,37.93
"CTS PRINTEX, INC.",MOUNTAIN VIEW,U.S.A,CA,PLYMOUTH & COLONY STS,"PLYMOUTH & COLONY STS, MOUNTAIN VIEW, CA, U.S.A, 94043",37.4158162,-122.0898445,"37.4158162, -122.0898445",94043,Final NPL,33.62
DEL AMO,LOS ANGELES,U.S.A,CA,DEL AMO BLVD AND VERMONT AVE,"DEL AMO BLVD AND VERMONT AVE, LOS ANGELES, CA, U.S.A, 90502",33.8462077,-118.2904098,"33.8462077, -118.2904098",90502,Final NPL,47.12
DEL NORTE PESTICIDE STORAGE,CRESCENT CITY,U.S.A,CA,2650 WASHINGTON BLVD,"2650 WASHINGTON BLVD, CRESCENT CITY, CA, U.S.A, 95531",41.7727295,-124.2329327,"41.7727295, -124.2329327",95531,Deleted NPL,
EDWARDS AIR FORCE BASE,EDWARDS AFB,U.S.A,CA,AFFTC EDWARDS AFB,"AFFTC EDWARDS AFB, EDWARDS AFB, CA, U.S.A, 93524",34.9231878,-117.8918612,"34.9231878, -117.8918612",93524,Final NPL,33.62
EL TORO MARINE CORPS AIR STATION,EL TORO,U.S.A,CA,EL TORO MARINE CORPS AIR STA,"EL TORO MARINE CORPS AIR STA, EL TORO, CA, U.S.A, 92709",33.6469437,-117.6861023,"33.6469437, -117.6861023",92709,Final NPL,
FAIRCHILD SEMICONDUCTOR CORP. (MOUNTAIN VIEW PLANT),MOUNTAIN VIEW,U.S.A,CA,"369, 515 N Whisman, 313 Fairchild & 401 National","369, 515 N Whisman, 313 Fairchild & 401 National, MOUNTAIN VIEW, CA, U.S.A, 94042",37.4021426,-122.0565443,"37.4021426, -122.0565443",94042,Final NPL,31.94
FAIRCHILD SEMICONDUCTOR CORP. (SOUTH SAN JOSE PLANT),SAN JOSE,U.S.A,CA,101 BERNAL ROAD,"101 BERNAL ROAD, SAN JOSE, CA, U.S.A, 95119",37.2323695,-121.7729257,"37.2323695, -121.7729257",95119,Final NPL,44.46
FIRESTONE TIRE & RUBBER CO. (SALINAS PLANT),SALINAS,U.S.A,CA,340 EL CAMINO REAL S,"340 EL CAMINO REAL S, SALINAS, CA, U.S.A, 93901",36.6255732,-121.5922537,"36.6255732, -121.5922537",93901,Deleted NPL,
FORT ORD,MARINA,U.S.A,CA,FORMER ARMY BASE FORT ORD,"FORMER ARMY BASE FORT ORD, MARINA, CA, U.S.A, 93933",36.6608552,-121.8023229,"36.6608552, -121.8023229",93933,Final NPL,
FRESNO MUNICIPAL SANITARY LANDFILL,FRESNO,U.S.A,CA,SW COR OF JENSEN & W AVE,"SW COR OF JENSEN & W AVE, FRESNO, CA, U.S.A, 93706",36.7072454,-119.5611657,"36.7072454, -119.5611657",93706,Final NPL,35.57
FRONTIER FERTILIZER,DAVIS,U.S.A,CA,COUNTY ROAD 32A,"COUNTY ROAD 32A, DAVIS, CA, U.S.A, 95618",38.5530377,-121.6957005,"38.5530377, -121.6957005",95618,Final NPL,35.04
GEORGE AIR FORCE BASE,VICTORVILLE,U.S.A,CA,AIR BASE RD- NR ST RTE 395,"AIR BASE RD- NR ST RTE 395, VICTORVILLE, CA, U.S.A, 92392",34.5720445,-117.393608,"34.5720445, -117.393608",92392,Final NPL,33.62
HALACO ENGINEERING COMPANY,OXNARD,U.S.A,CA,6200 PERKINS,"6200 PERKINS, OXNARD, CA, U.S.A, 93033",34.1395227,-119.1833863,"34.1395227, -119.1833863",93033,Final NPL,51.94
HEWLETT-PACKARD (620-640 PAGE MILL ROAD),PALO ALTO,U.S.A,CA,620 - 640 PAGE MILL RD.,"620 - 640 PAGE MILL RD., PALO ALTO, CA, U.S.A, 94304",37.4211338,-122.1437735,"37.4211338, -122.1437735",94304,Final NPL,29.76
HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,U.S.A,CA,HUNTERS POINT NAVAL SHIPYARD,"HUNTERS POINT NAVAL SHIPYARD, SAN FRANCISCO, CA, U.S.A, 94124",37.7265401,-122.3759933,"37.7265401, -122.3759933",94124,Final NPL,
INDUSTRIAL WASTE PROCESSING,FRESNO,U.S.A,CA,7140 N HARRISON,"7140 N HARRISON, FRESNO, CA, U.S.A, 93650",36.8424827,-119.8102041,"36.8424827, -119.8102041",93650,Final NPL,51.13
INTEL CORP. (MOUNTAIN VIEW PLANT),MOUNTAIN VIEW,U.S.A,CA,365 E MIDDLEFIELD RD,"365 E MIDDLEFIELD RD, MOUNTAIN VIEW, CA, U.S.A, 94040",37.3963363,-122.0577386,"37.3963363, -122.0577386",94040,Final NPL,29.76
INTEL CORP. (SANTA CLARA III),SANTA CLARA,U.S.A,CA,2880 NORTHWESTERN PKWY,"2880 NORTHWESTERN PKWY, SANTA CLARA, CA, U.S.A, 95051",37.3736131,-121.9728164,"37.3736131, -121.9728164",95051,Deleted NPL,
INTEL MAGNETICS,SANTA CLARA,U.S.A,CA,3000 OAKMEAD VILLAGE DR,"3000 OAKMEAD VILLAGE DR, SANTA CLARA, CA, U.S.A, 95051",37.3758601,-121.9808134,"37.3758601, -121.9808134",95051,Final NPL,31.94
INTERSIL INC./SIEMENS COMPONENTS,CUPERTINO,U.S.A,CA,10900 N TANTAU AVE/19000 HOMESTEAD RD,"10900 N TANTAU AVE/19000 HOMESTEAD RD, CUPERTINO, CA, U.S.A, 95014",37.3374583,-122.0054028,"37.3374583, -122.0054028",95014,Final NPL,28.9
IRON MOUNTAIN MINE,REDDING,U.S.A,CA,OFF HWY 299 9 MI NW OF,"OFF HWY 299 9 MI NW OF, REDDING, CA, U.S.A, 96001",40.6546115,-122.7619739,"40.6546115, -122.7619739",96001,Final NPL,56.16
J.H. BAXTER & CO.,WEED,U.S.A,CA,422 MILL ST,"422 MILL ST, WEED, CA, U.S.A, 96094",41.4336765,-122.3738355,"41.4336765, -122.3738355",96094,Final NPL,34.78
JASCO CHEMICAL CORP.,MOUNTAIN VIEW,U.S.A,CA,1710 VILLA ST,"1710 VILLA ST, MOUNTAIN VIEW, CA, U.S.A, 94041",37.3991868,-122.0891148,"37.3991868, -122.0891148",94041,Deleted NPL,
JERVIS B. WEBB CO.,SOUTH GATE,U.S.A,CA,9301 RAYO AVE AND 5030 FIRESTONE BLVD,"9301 RAYO AVE AND 5030 FIRESTONE BLVD, SOUTH GATE, CA, U.S.A, 90280",33.9505565,-118.1782085,"33.9505565, -118.1782085",90280,Final NPL,45.76
JET PROPULSION LABORATORY (NASA),PASADENA,U.S.A,CA,4800 OAK GROVE DR,"4800 OAK GROVE DR, PASADENA, CA, U.S.A, 91109",34.1981193,-118.1752103,"34.1981193, -118.1752103",91109,Final NPL,50
JIBBOOM JUNKYARD,SACRAMENTO,U.S.A,CA,240 - 260 JIBBOOM ST,"240 - 260 JIBBOOM ST, SACRAMENTO, CA, U.S.A, 95814",38.5953074,-121.5049186,"38.5953074, -121.5049186",95814,Deleted NPL,
KLAU/BUENA VISTA MINE,PASO ROBLES,U.S.A,CA,344 KLAU MINE RD.,"344 KLAU MINE RD., PASO ROBLES, CA, U.S.A, 93446",35.6259619,-120.8965701,"35.6259619, -120.8965701",93446,Final NPL,50
"KOPPERS CO., INC. (OROVILLE PLANT)",OROVILLE,U.S.A,CA,BAGGETT-MARYSVILLE RD,"BAGGETT-MARYSVILLE RD, OROVILLE, CA, U.S.A, 95965",39.476405,-121.556744,"39.476405, -121.556744",95965,Final NPL,33.73
LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH/OLD CAMPUS LANDFILL (USDOE),DAVIS,U.S.A,CA,OLD DAVIS RD,"OLD DAVIS RD, DAVIS, CA, U.S.A, 95616",38.5377584,-121.7460618,"38.5377584, -121.7460618",95616,Final NPL,50
LAVA CAP MINE,NEVADA CITY,U.S.A,CA,14501 LAVA CAP MINE ROAD,"14501 LAVA CAP MINE ROAD, NEVADA CITY, CA, U.S.A, 95959",39.225122,-120.97063,"39.225122, -120.97063",95959,Final NPL,33.66
LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),TRACY,U.S.A,CA,CORRAL HOLLOW ROAD,"CORRAL HOLLOW ROAD, TRACY, CA, U.S.A, 95376",37.746918,-121.453226,"37.746918, -121.453226",95376,Final NPL,31.58
"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USDOE)",LIVERMORE,U.S.A,CA,7000 EAST AVE,"7000 EAST AVE, LIVERMORE, CA, U.S.A, 94550",37.679975,-121.716272,"37.679975, -121.716272",94550,Final NPL,42.24
LEVIATHAN MINE,MARKLEEVILLE,U.S.A,CA,LEVIATHAN MINE,"LEVIATHAN MINE, MARKLEEVILLE, CA, U.S.A, 96120",38.71023,-119.6575811,"38.71023, -119.6575811",96120,Final NPL,50
LIQUID GOLD OIL CORP.,RICHMOND,U.S.A,CA,HOFFMAN BLVD & S 47TH ST,"HOFFMAN BLVD & S 47TH ST, RICHMOND, CA, U.S.A, 94804",37.9226798,-122.3254333,"37.9226798, -122.3254333",94804,Deleted NPL,
LORENTZ BARREL & DRUM CO.,SAN JOSE,U.S.A,CA,1515 S 10TH ST,"1515 S 10TH ST, SAN JOSE, CA, U.S.A, 95112",37.3175076,-121.8650892,"37.3175076, -121.8650892",95112,Final NPL,33.94
