creation_date,accession_number,artist,display_title,Latitude,Longitude
1916,1914.1,"Connor, Gerome",Robert Emmet (1778-1803),37.769883,-122.466863
1916,1910.1,"Mora, Joseph Jacinto",Miguel Cervantes (1547-1616),37.77259006,-122.4665199
1917,1916.1.a-c,"Cummings, M. Earl",Pool of Enchantment,37.77142602,-122.468789
1921,1919.1,"Cummings, M. Earl",Dennis T. Sullivan (1852-1906) Plaque,37.789968,-122.411599
1921,1917.1.b,"Patigian, Haig",General John J. Pershing (1860-1948),37.76961583,-122.4677186
1923,1917.1.a-b,"Cummings, M. Earl",Rideout Fountain,37.76974004,-122.4695899
1923,1921.1,"Dixon, Maynard",Landscape,37.78750301,-122.410199
1923,1917.1.a,"Walters, Edgar",Sigmund Steinhart,37.769883,-122.466863
1923,1922.1,"Walters, Edgar",Ignatz Steinhart,37.769883,-122.466863
1923,1923.2.2,"Walters, Edgar",Ignatz and Sigmund Steinhart (1840-1917),37.769883,-122.466863
1928,1923.1,"Cummings, M. Earl",Carl G. Larsen,37.74119002,-122.4755699
1928,1923.3,"Cummings, M. Earl",Doughboy,37.77260003,-122.4658099
1932,1942.9,"Patigian, Haig",Volunteer Fireman Memorial,37.80084101,-122.410012
1932,1942.5,"Schnier, Jacques",California Theater Plaque,37.791002,-122.404849
1934,1934.4.a,"Albro, Maxine",California,37.80231199,-122.405884
1934,1934.12.b,"Arnautoff, Victor Mikhail",City Life,37.80231199,-122.405884
1934,1934.11,"Berlandina, Jane",Home Life,37.80231199,-122.405884
1934,1942.4,"Bertrand, Raymond",Meat Industry,37.80231199,-122.405884
1934,1934.18.a-b,"Boynton, Raymond",Animal Force and Machine Force,37.80231199,-122.405884
1934,1934.28.5,"Chesse, Ralph A.",Children at Play,37.80231199,-122.405884
1934,1934.8.b,"Cuneo, Rinaldo",Bay Area Hills,37.80231199,-122.405884
1934,1934.19.c,"Cunningham, Ben F.",Outdoor Life,37.80231199,-122.405884
1934,1933.41,"Dean, Mallette (Harold)",Scientist-Inventor,37.80231199,-122.405884
1934,1934.26,"Dean, Mallette (Harold)",Stockbroker and Scientist-Inventor,37.80231199,-122.405884
1934,1934.24,"Dean, Mallette (Harold)",Stockbroker,37.80231199,-122.405884
1934,1936.4.a,"Forbes, Helen",Noah and His Ark (The Landing of the Ark),37.73541003,-122.5068199
1934,1934.1,"Hall, Parker",Collegiate Sports,37.80231199,-122.405884
1934,1934.1,"Hamlin, Edith",Hunting in California,37.80231199,-122.405884
1934,1934.4.b,"Harris, George",Banking and the Law,37.80231199,-122.405884
1934,1934.7,"Hesthal, William",Railroad and Shipping,37.80231199,-122.405884
1934,1934.17,"Howard, John Langley",California Industrial Scenes,37.80231199,-122.405884
1934,1932.1,"Labaudt, Lucien",Powell Street,37.80231199,-122.405884
1934,1934.12.a,"Langdon, Gordon",California Agricultural Industry,37.80231199,-122.405884
1934,1934.15,"Moya del Pino, Jose","San Francisco Bay, North",37.80231199,-122.405884
1934,1934.23,"Oldfield, Otis",San Francisco Bay,37.80231199,-122.405884
1934,1934.2,"Oldfield, Otis",Bay Area Map,37.80231199,-122.405884
1934,1934.27,"Oldfield, Otis",Seabirds (Seagulls),37.80231199,-122.405884
1934,1934.19.a,"Oldfield, Otis",Seabirds (Pelicans),37.80231199,-122.405884
1934,1934.19.b,"Oldfield, Otis",Seabirds and Bay Area Map,37.80231199,-122.405884
1934,1934.4.a-b,"Olmsted, Jr., Frederick Law",Power,37.80231199,-122.405884
1934,1934.8.a-b,"Puccinelli, Dorothy Wagner",Noah and His Ark (Building the Ark),37.73541003,-122.5068199
1934,1934.12.a-b,"Puccinelli, Dorothy Wagner and Forbes, Helen",Noah and His Ark,37.73541003,-122.5068199
1934,1934.22,"Scheuer, Suzanne",Newsgathering,37.80231199,-122.405884
1934,1934.3,"Stackpole, Ralph",Industries of California,37.80231199,-122.405884
1934,1942.8,"Terada, Edward Takeo",Sports,37.80231199,-122.405884
1934,1934.6,"Vidar, Frede",Department Store,37.80231199,-122.405884
1934,1934.16,"Wessels, Glenn","Fire, Earth, Water, Air, The Professions",37.748793,-122.455811
1934,1934.2,"Wessels, Glenn",The Professions,37.748793,-122.455811
1934,1934.21,"Wight, Clifford",Farmer,37.80231199,-122.405884
1934,1934.28.1-5,"Wight, Clifford",Surveyor and Ironworker,37.80231199,-122.405884
1934,1934.5,"Wight, Clifford",Ironworker,37.80231199,-122.405884
1934,1934.13,"Wight, Clifford",Cowboy,37.80231199,-122.405884
1934,1934.9,"Wight, Clifford",Surveyor,37.80231199,-122.405884
1934,1934.8.a,"Wight, Clifford",Farmer and Cowboy,37.80231199,-122.405884
1934,1934.14,"Zakheim, Bernard Baruch",Library,37.80231199,-122.405884
1935,1936.4.a-d,"Bufano, Beniamino",Horse and Rider (St. Francis on Horseback),37.7849495,-122.4416025
1935,1934.18.b,"Bufano, Beniamino",Cat,37.76665001,-122.42229
1935,1934.25,"Bufano, Beniamino",Butterfly,37.76665001,-122.42229
1935,1936.4.c,"Moya del Pino, Jose",Murals for the Acme Beer Company (A Family Picnic),37.77813313,-122.4287419
1935,1934.18.a,"Moya del Pino, Jose",Murals for the Acme Beer Company (Making and Bottling Beer),37.77813313,-122.4287419
1935,1934.19.a-c,"Moya del Pino, Jose",Murals for the Acme Beer Company (The Gathering of the Hops),37.77813313,-122.4287419
1935,1973.26.a,"Moya del Pino, Jose",Murals for Acme Beer Company,37.77813313,-122.4287419
1936,1942.13,"Bufano, Beniamino",Sun Yat-Sen,37.79245127,-122.4054364
1936,1973.26.c,"Labaudt, Lucien",People and Places of San Francisco,37.76981502,-122.510542
1938,1973.26.a-c,"Edstrom, David",Florence Nightingale (1820-1910),37.748793,-122.455811
1938,1942.11,"Forbes, Helen",Noah and His Ark (The Arkâ€™s Passengers Disembark),37.73541003,-122.5068199
1938,1973.26.b,"Ilyin, Peter",Untitled  (Two Views of San Francisco),37.779577,-122.421017
1938,1942.12,"Puccinelli, Dorothy Wagner",Noah and His Ark (Loading of the Animals),37.73541003,-122.5068199
1938,1936.1,"Puccinelli, Raymond (Raimondo)",Guglielmo Marconi (1874-1937) Memorial Plaque,37.80352003,-122.4062799
1939,1940.15.1,"Bufano, Beniamino",Peace,37.71468521,-122.4789528
1939,1936.2,"Carter, Dudley C.",Goddess of the Forest,37.72382699,-122.449584
1939,1938.1,"Huntington, Clara",St. Francis of Assisi (Feeding the Birds),37.76890202,-122.470886
1939,1936.4.b,"Moxom, Jack",Sarah B. Cooper Memorial,37.76719006,-122.4586799
1939,1936.4.d,"Stackpole, Ralph",Edmund Godchaux (1849-1939),37.77939476,-122.4184766
1940,1940.15.2,"Olmsted, Jr., Frederick Law",Edison,37.72382699,-122.449584
1940,1939.1,"Runyon, Hal Bayard",Andrew Furuseth (1854-1938),37.78656298,-122.393014
1940,1940.1,"Schweigardt, Frederick W.",Joseph B. Strauss (1870-1938) Memorial,37.80648004,-122.4752099
1940,1938.2,"Volz, Herman",Education (Organic and Inorganic Science),37.72382699,-122.449584
1941,1956.3,"Olmsted, Jr., Frederick Law",Education (Theory and Science),37.72382699,-122.449584
1941,1939.2,"Olmsted, Jr., Frederick Law",Leonardo da Vinci,37.72382699,-122.449584
1941,1958.26,"Patigian, Haig",William C. Ralston (1826-1875) Monument,37.80711244,-122.4379374
1949,1940.7.b,"Quilici, Gladys Nevada",Frank Marini (1862-1952),37.80117004,-122.4109999
1952,1940.7.a-b,"Leong, James",100 Years of Progress of Chinese in America,37.79376702,-122.408851
1955,1940.5.1,"Erckenbrack, Mary E.",Ceramic Mural on Athletics,37.78439299,-122.435069
1962,1940.3,"Moore, Henry",Standing Figure â€“ Knife Edge,37.79620003,-122.3981699
1962,1940.7.a,"Olaguibel, Juan",Miguel Hidalgo Y Costilla,37.75972006,-122.4282399
1966,1942.14.a-b,"Perry, Charles O.",Bronze Icosaspirale,37.79620003,-122.3981699
1967,1942.14.b,"Martinez, Julian",Juan Bautista de Anza,37.72959005,-122.4935599
1967,1942.14.a,"Ng, Win",Unknown,37.78233599,-122.436058
1968,1940.8,"Stellon, Anthony",The Brotherhood of Man,37.76449899,-122.4084956
1968,1940.5.2,Vaea,Untitled,37.73233601,-122.406393
1969,1954.17,"Bufano, Beniamino",St. Francis of the Guns,37.72382699,-122.449584
1969,1955.21,"Gordin, Sidney",Untitled,37.77761798,-122.420614
1969,1952.21,"Wareham, William",Wyoming Coup,37.72382699,-122.449584
1971,1960.23,"Vaillancourt, Armand",The Embarcadero Fountain,37.79450006,-122.3947899
1972,1966.21,"Sells, Raymond",Untitled (Planter),37.77532201,-122.403864
1972,1966.25,"VandenBerge, Peter",Jungle Scenes,37.72382699,-122.449584
1973,1967.86.a-h,"Demetrios, Aristides",Sentinels,37.72382699,-122.449584
1973,1966.23,"Mullican, Lee",The Great Transparents,37.62043,-122.399165
1974,1968.45,"Asawa, Ruth",Hagiwara Family Plaque,37.77052645,-122.4687267
1974,1969.1,"Fuller (McChesney), Mary",Dos Liones,37.75632799,-122.405817
1974,1967.83,"Loarca, Carlos",Connecting Mural Bands,37.75632799,-122.405817
1974,1968.44,"Puccinelli, Raymond (Raimondo)",American Bison--Buffalo,37.75632799,-122.405817
1974,1967.79,"Richardson, Harry",The Great Blue Heron,37.75632799,-122.405817
1974,1969.25,"Rios, Michael",Untitled,37.75632799,-122.405817
1974,1968.68,"Walburg, Gerald",Stiff Loops (Loop IV),37.75694004,-122.4047499
1976,1971.46,"Brown, Joan",The Journey #2,37.62043,-122.399165
1976,1984.68.2,"Coullaut-Valera, Federico",Statue of King Carlos III,37.72557102,-122.499527
1976,1984.68.1,"Overhoff, Jacques",Untitled,37.77086699,-122.420811
1976,1973.23,"Torlakson, James",Behind Ted McCann's Garage,37.62043,-122.399165
1977,1977.58,"Concha, Jerry (Gerald)",Roof Mural,37.75632799,-122.405817
1977,1974.24.a-f,"Dill, Laddie John",Untitled,37.62043,-122.399165
1977,1978.52,"Newman, Ruby",Children's Mural,37.75632799,-122.405817
1977,1973.22,"Overhoff, Jacques",Bicentennial Wings and Sculpture Deck,37.72382699,-122.449584
1977,1984.46,"Overhoff, Jacques",Bicentennial Wings,37.72382699,-122.449584
1977,1974.2,"Overhoff, Jacques",Sculpture Deck,37.72382699,-122.449584
1977,1984.4,"Tchakalian, Sam",Hitwood,37.62043,-122.399165
1977,1975.3,"Villamor, Manuel",Untitled,37.75632799,-122.405817
1977,1979.11,"Wiley, William",Void,37.62043,-122.399165
1978,1976.96,"De Forest, Roy",Homage to Zane Grey,37.62043,-122.399165
1978,1979.31,"Rivera, Gustavo","Azul, Azul Y Hacer",37.62043,-122.399165
1979,1976.91,"Bechtle, Robert",San Francisco Nova,37.62043,-122.399165
1980,1977.41,"Francis, Sam",Untitled,37.62043,-122.399165
1981,1977.66.a,"Adams, Mark",Pond in Golden Gate Park (The Garden Tapestries),37.62043,-122.399165
1981,1979.4,"Beasley, Bruce",The Hesperides,37.62043,-122.399165
1981,1977.66.a-b,"Hudson, Robert",A Horse of Another Color,37.62043,-122.399165
1981,1979.33,"Villegas, Victor Hugo Barranechea",Simon Bolivar,37.78012602,-122.417734
1982,1977.66.b,"Adams, Mark",Garden Outside the Gate (The Garden Tapestries),37.62043,-122.399165
1982,1977.57,"Downie, Romana Anzi",Bust of George Moscone,37.77917798,-122.415746
1982,1977.67,"Eversley, Frederick",Untitled,37.62043,-122.399165
1982,1977.42,"O'Banion, Nance",Billboard Series: Exploded Transverse with no Nuggies,37.62043,-122.399165
1982,1977.59,"Quagliata, Narcissus",Untitled,37.80638866,-122.408132
1982,1979.36,"Segal, George",The Holocaust,37.781705,-122.496671
1983,1979.39,"Katano, Marc",Greeting a Totem,37.62043,-122.399165
1983,1980.3.1-3,"Kozloff, Joyce","Bay Area Victorian, Bay Area Deco, Bay Area Funk",37.62043,-122.399165
1983,1982.1,"Kunishima, Seiji",Stacking Stones,37.62043,-122.399165
1983,1979.32,"Pomodoro, Arnaldo",Cilindro Costruito,37.62043,-122.399165
1983,1985.5.1,"Snyder, Dan","Welcome North, Welcome South, Welcome East, Welcome West",37.62043,-122.399165
1983,1979.59,"Tamayo, Rufino","Conquest of Space, 1983 DUP",37.62043,-122.399165
1984,1985.5.3,"Asawa, Ruth","Redding School, Self-Portrait",37.78373099,-122.412261
1984,1984.7,"Fuller (McChesney), Mary",Dragon,37.79445006,-122.40478
1984,1985.8.1-7,"Fuller (McChesney), Mary",Rabbit,37.79445006,-122.40478
1984,1982.5,"Fuller (McChesney), Mary",Ram,37.79445006,-122.40478
1984,1984.55.1-4,"Fuller (McChesney), Mary",Serpent,37.79445006,-122.40478
1984,1985.47,"Fuller (McChesney), Mary","Tiger, Ram, Serpent, Monkey, Rabbit, Dragon",37.79445006,-122.40478
1985,1984.8,"Barr, Roger",Skygate,37.80803597,-122.4086511
1985,1984.7,"Boyce, Roger",Players,37.758149,-122.412586
1985,1984.74.a-c,"Brown, Joan",The Dancing Musicians,37.77817999,-122.422523
1985,1986.1,"Dvortcsak, Michael",Sublimens,37.61242626,-122.3937406
1985,1985.1,"Hasson, Bruce",Ark (or Ark San Francisco),37.78373099,-122.412261
1985,1984.1,"Polk, James",Untitled,37.764411,-122.420661
1986,1985.14.5,"Demetrios, Aristides",Red Gothic,37.77904006,-122.4652199
1986,1985.14.6,"Fernandez, Rudy",Mission Triptych #3,37.758149,-122.412586
1986,1985.14.2,"Fernandez, Rudy",Mission Triptych #2,37.758149,-122.412586
1986,1985.48.a-i,"Fuller (McChesney), Mary","Earth, Air, Sea",37.72524523,-122.5031158
1986,1986.8,"Hiramoto, Judy",Animal Hopscotch,37.758149,-122.412586
1986,1985.1,"Katano, Marc",Torso,37.62043,-122.399165
1986,1985.14.3,M.E.T.A.L. (Mural Environmentalists Together in Art Labor),International Longshoremen's & Warehousemen's Union Memorial (ILWU),37.79325002,-122.3931899
1986,1985.32.a-c,"Richards, George and Gonzalez, Peter",Marina Breakwater; Wave Organ,37.80711244,-122.4379374
1986,1984.9.a-w,"Smith, Anthony",Untitled,37.78373099,-122.412261
1986,1985.14.1-6,"Students, Woodrow Wilson High School",Celebrating the 50th Anniversary of Golden Gate Bridge,37.70953199,-122.447003
1987,1985.24.4,"Kirkland, Larry",Flight Patterns,37.62043,-122.399165
1987,1985.24.3,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse [first floor window],37.74024622,-122.4677361
1987,1985.24.1-5,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse [second floor window],37.74024622,-122.4677361
1987,1985.24.1,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse [double door window],37.74024622,-122.4677361
1987,1986.23,"Kogure, Kimiko",Miraloma Fieldhouse Bathrooms,37.73924006,-122.4487099
1987,1985.25,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse [first floor door],37.74024622,-122.4677361
1987,1985.24.2,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse,37.74024622,-122.4677361
1988,1986.25,"Almeida, Peter",Colloidal Pool,37.74409004,-122.4194699
1988,1986.62,"Anderson, Lois",Outdoor Wall Mosaic,37.74783004,-122.4381399
1988,1986.11,"Champagne, Lee Roy",The Grail,37.79969499,-122.435151
1988,1987.42,"Chomenko, Mary",Ocean Beach Fossil,37.74911004,-122.5079599
1988,1986.63,"Graham, Gary W.",Police Shields,37.78035199,-122.432282
1988,1985.24.5,"Paunov, Zlatko",Mohandas K. Gandhi,37.79315824,-122.3915536
1988,1986.9,"Washington, Horace",Untitled,37.78035199,-122.432282
1989,1987.16,"Deutsch, Richard",Propeller,37.74541006,-122.5074699
1989,1111.2,"Heavenston, Martha",A World View [figure with fruit],37.778779,-122.406191
1989,1987.31,"Heavenston, Martha",A World View [tiger],37.778779,-122.406191
1989,1986.1,"Heavenston, Martha",A World View,37.778779,-122.406191
1989,1987.44.b,"Heavenston, Martha",A World View [alligator],37.778779,-122.406191
1989,1987.44.s,"Heavenston, Martha",A World View [cactus],37.778779,-122.406191
1989,1987.44.i,"Heavenston, Martha",A World View [entryway mural],37.778779,-122.406191
1989,1987.44.c,"Heavenston, Martha",A World View [mountain],37.778779,-122.406191
1989,1987.44.n,"Heavenston, Martha",A World View [fish],37.778779,-122.406191
1989,1987.44.o,"Ludwig, Helen",One Step at a Time,37.77812199,-122.418711
1989,1988.1,"Martin, Fran",Ndebele,37.724928,-122.381611
1990,1987.44.t,"Gillman, Steve",Bay Bench,37.78707005,-122.38771
1990,1987.44.f,"Marsh, Thomas",Goddess of Democracy,37.79445006,-122.40478
1991,1987.44.j,"Bongers, Jaap (Jacob)",Untitled #2,37.78003101,-122.464404
1991,1987.44.g,"Bongers, Jaap (Jacob)",Untitled #1,37.78003101,-122.464404
1991,1987.44.h,"Jurs, Shelley",Good Luck Piece,37.78003101,-122.464404
1992,1987.43,"Lobdell, Frank",Yale Portfolio,37.62043,-122.399165
1993,1987.44.k,"Collins, Tim and Goto, Reiko",Aqua Pura,37.60492458,-122.4263833
1993,1987.44.v,"Hasson, Bruce",Trolleys,37.78861902,-122.420007
1993,1987.44.e,"Riley, Cheryl",On Target Podium,37.729803,-122.39788
1993,1987.44.w,"Sproat, Christopher Townsend",Spine,37.786041,-122.407099
1994,1987.44.u,"Donahue, Marcia",Moon Face,37.79605004,-122.4099799
1994,1987.44.a,"Donahue, Marcia",Five Carved Stones,37.79605004,-122.4099799
1994,1987.44.d,"Donahue, Marcia",Peach,37.79605004,-122.4099799
1994,1987.44.r,"Donahue, Marcia",Persimmon,37.79605004,-122.4099799
1994,1987.44.a-w,Joesam.,Hope Flight,37.76292899,-122.421984
1994,1987.44.p,"Richards, Peter","Companion Place, a Complement to the Comfort Garden",37.75632799,-122.405817
1994,1987.44.m,"Riley, Cheryl","Ndebele Wall Panels I,II,III,IV",37.729803,-122.39788
1995,1989.21,"Acconci, Saitowitz and Soloman",Promenade Ribbon,37.80663005,-122.4059699
1995,1987.44.q,"di Suvero, Mark",Sea Change,37.77996005,-122.3896999
1995,1988.5.a-b,"Heavenston, Martha",Dancing in the Sea of Milk,37.78467198,-122.415597
1995,1989.25.g,"Heavenston, Martha",African King with Animal Power,37.78467198,-122.415597
1995,1989.29,"Heavenston, Martha",Dancing in the Sea of Milk; African King with Animal Power,37.78467198,-122.415597
1995,1989.25.d,"Hollis, Douglas",Untitled,37.77494701,-122.405221
1995,1987.44.l,Joesam.,Folks in the 'Hood [running boy],37.78467198,-122.415597
1995,1988.4,Joesam.,Folks in the 'Hood,37.78467198,-122.415597
1995,1988.43,Joesam.,Folks in the 'Hood [figure in wheelchair],37.78467198,-122.415597
1995,1988.3,Joesam.,Folks in the 'Hood [woman with ball],37.78467198,-122.415597
1995,1989.25.b,Joesam.,Folks in the 'Hood [figures with hoop],37.78467198,-122.415597
1995,1989.25.a,Joesam.,Folks in the 'Hood [seated child],37.78467198,-122.415597
1995,1989.25.i,Joesam.,Folks in the 'Hood [running woman],37.78467198,-122.415597
1995,1989.24,"Manwaring, Michael",Historic and Interpretative Signage Project,37.78028003,-122.3892599
1995,1989.22,"Poethig, Johanna",Gameboard,37.78467198,-122.415597
1995,1988.2,"Poethig, Johanna",Prediction,37.78467198,-122.415597
1995,1989.25.a-i,"Poethig, Johanna",Epic; Prediction; Gameboard; and H20,37.78467198,-122.415597
1995,1989.25.h,"Poethig, Johanna",H20,37.78467198,-122.415597
1995,1989.25.f,"Poethig, Johanna",Epic,37.78467198,-122.415597
1995,1988.44,"Scuri, Vicki",Sheriff Star Plaza,37.77494701,-122.405221
1995,1989.25.e,"Shum, Hilda",Games of the World,37.75632799,-122.405817
1995,1989.25.c,"Shum, Hilda",Fish Tale,37.75632799,-122.405817
1996,1993.7,"Aycock, Alice",Cyclone Fragment,37.77917798,-122.415746
1996,1999.20.d,"Aycock, Alice",Functional and Fantasy Stair,37.77917798,-122.415746
1996,1991.4,"Beldner, Ray",Playland Revisited,37.77326002,-122.51005
1996,1991.2.1,"Beldner, Ray",Playland Revisited [Streetcar],37.77326002,-122.51005
1996,1994.15.1-2,"Beldner, Ray",Playland Revisited [Laughing Sal],37.77326002,-122.51005
1996,1999.20.c,"Beldner, Ray",Playland Revisited [Clown],37.77326002,-122.51005
1996,1999.20.e,"Beldner, Ray",Playland Revisited [Horse],37.77326002,-122.51005
1996,1995.7.b,"Beldner, Ray",Playland Revisited [Rooster],37.77326002,-122.51005
1996,1998.6,"Blake, Nayland W.",Constellation,37.77917798,-122.415746
1996,1997.3.1.a-d,"Donahue, Scott","Kate, Allan, Javier, Ting, Sloanie",37.743724,-122.481369
1996,1991.2.2,"Evans, Mark and Brown, Charlie",Into the Light,37.77917798,-122.415746
1996,1999.20.b,"Gonzalez, Arthur",Peaceable Kingdom,37.743724,-122.481369
1996,1990.7.1-2,"Hamilton, Ann and Chamberlain, Ann",Untitled,37.77917798,-122.415746
1996,1990.7.1,"Yung, Rene",Take Root,37.795231,-122.410195
1996,1990.7.2,"Yung, Rene",copper panel,37.795231,-122.410195
1996,1990.9,"Yung, Rene",lamp (Green),37.795231,-122.410195
1996,T2018.77.a-e,"Yung, Rene",lamp (Leaf),37.795231,-122.410195
1996,1993.6.a-lll,"Yung, Rene",lamp (Points of Arrival),37.795231,-122.410195
1996,1993.2.1-2,"Yung, Rene",lamp (Chinese characters),37.795231,-122.410195
1996,1999.20.a,"Yung, Rene",lamp (Take Root),37.795231,-122.410195
1996,1999.20.a-e,"Yung, Rene",lamp (Points of Departure),37.795231,-122.410195
1996,1994.17,"Yung, Rene",lamp (New Soil),37.795231,-122.410195
1997,1995.8.1,"Chamberlain, Ann",Untitled Photographic Images,37.75632799,-122.405817
1997,1995.16,"deSoto, Lewis",Jury Assembly Room,37.78041301,-122.418795
1997,1995.7.a-f,"McDonnell, Mark",Glass Rondella,37.74009899,-122.458756
1997,1995.7.f,"Montoya, Emmanuel Catarino",Quetzalcoatl: Pre-Colombian Deity of Knowledge and Culture,37.75199702,-122.419704
1997,1995.13,"Paniagua, Emanuel",Perhaps Better Voices,37.77917798,-122.415746
1998,1995.7.e,"Carland, Tammy Rae",On Becoming: Billy + Katie 1964 #1-8,37.62043,-122.399165
1998,1995.17,"Chagoya, Enrique",Authors of Latin American Roots,37.77917798,-122.415746
1998,1995.9.3,"Kilgallen, Margaret",Untitled,37.62043,-122.399165
1998,1995.9.1-4,"Paley, Albert",Courthouse Entry Doors,37.78041301,-122.418795
1998,1995.9.1,"Preston, Ann",Panel,37.78041301,-122.418795
1998,1995.7.a,"Preston, Ann",Floor,37.78041301,-122.418795
1998,1995.14,"Preston, Ann",Bench,37.78041301,-122.418795
1998,1995.1,"Preston, Ann",Family Court Waiting Area,37.78041301,-122.418795
1998,1995.7.d,"Riley, Cheryl",Indian Spoon Sconces,37.729803,-122.39788
1999,1996.1.1,"Asawa, Ruth",Origami Fountain,37.78574202,-122.430103
1999,1998.4.4,"Asawa, Ruth",Origami Fountain,37.78610801,-122.430152
1999,1997.11,"Asawa, Ruth",Origami Fountains,37.78558004,-122.42976
1999,1996.7.c,"Carnwath, Squeak","Fly, Flight, Fugit",37.62043,-122.399165
1999,1995.7.c,"Chagoya, Enrique",Love Letters,37.62043,-122.399165
1999,1996.11,"Frey, Viola",World Civilization,37.62043,-122.399165
1999,1995.18,"Fuller (McChesney), Mary",Bench support (Rat),37.79445006,-122.40478
1999,1996.7.a-i,"Fuller (McChesney), Mary",Bench support (Hare),37.79445006,-122.40478
1999,1996.7.h,"Fuller (McChesney), Mary",Bench support (Dog),37.79445006,-122.40478
1999,1996.7.f,"Fuller (McChesney), Mary",Bench support (Serpent),37.79445006,-122.40478
1999,1996.6,"Fuller (McChesney), Mary",Bench support (Dragon),37.79445006,-122.40478
1999,1996.12,"Fuller (McChesney), Mary",Bench support (Ram),37.79445006,-122.40478
1999,1996.7.i,"Fuller (McChesney), Mary",Untitled,37.79445006,-122.40478
1999,1996.7.a,"Fuller (McChesney), Mary",Bench support (Monkey),37.79445006,-122.40478
1999,1996.2,"Fuller (McChesney), Mary",Lion,37.79445006,-122.40478
1999,1996.3,"Fuller (McChesney), Mary",Bench support (Ox),37.79445006,-122.40478
1999,1996.7.b,"Fuller (McChesney), Mary",Bench support (Tiger),37.79445006,-122.40478
1999,1996.7.g,"Fuller (McChesney), Mary",Bench support (Pig),37.79445006,-122.40478
1999,1996.1.2,"Fuller (McChesney), Mary",Serpent Wall,37.79445006,-122.40478
1999,1999.8.2,"Fuller (McChesney), Mary",Bench support (Rooster),37.79445006,-122.40478
1999,1998.4.3,"Fuller (McChesney), Mary",Bench support (Horse),37.79445006,-122.40478
1999,1995.9.4,"Garcia, Rupert",Bird Technology,37.62043,-122.399165
1999,1997.1,"Garza, Carmen Lomas",Baile!,37.62043,-122.399165
1999,1996.5,"Goggin, Brian",Substrada [Switch],37.741266,-122.423002
1999,1996.1.1-5,"Goggin, Brian",Substrada [Bed],37.74379298,-122.421374
1999,1996.1.5,"Goggin, Brian",Substrada [Grow],37.74578301,-122.419436
1999,1996.7.e,"Goggin, Brian",Substrada [Feed and Eat],37.74527498,-122.420435
